PING 10.0.0.2 (10.0.0.2) 10000(10028) bytes of data.
10008 bytes from 10.0.0.2: icmp_seq=1 ttl=64 time=77.2 ms
10008 bytes from 10.0.0.2: icmp_seq=2 ttl=64 time=33.2 ms
10008 bytes from 10.0.0.2: icmp_seq=5 ttl=64 time=34.1 ms
10008 bytes from 10.0.0.2: icmp_seq=6 ttl=64 time=34.2 ms
10008 bytes from 10.0.0.2: icmp_seq=7 ttl=64 time=33.6 ms
10008 bytes from 10.0.0.2: icmp_seq=8 ttl=64 time=33.0 ms
10008 bytes from 10.0.0.2: icmp_seq=9 ttl=64 time=33.2 ms
10008 bytes from 10.0.0.2: icmp_seq=10 ttl=64 time=32.1 ms
10008 bytes from 10.0.0.2: icmp_seq=11 ttl=64 time=32.2 ms
10008 bytes from 10.0.0.2: icmp_seq=12 ttl=64 time=33.6 ms
10008 bytes from 10.0.0.2: icmp_seq=13 ttl=64 time=32.6 ms
10008 bytes from 10.0.0.2: icmp_seq=14 ttl=64 time=32.3 ms
10008 bytes from 10.0.0.2: icmp_seq=15 ttl=64 time=33.7 ms
10008 bytes from 10.0.0.2: icmp_seq=17 ttl=64 time=32.3 ms
10008 bytes from 10.0.0.2: icmp_seq=18 ttl=64 time=32.5 ms
10008 bytes from 10.0.0.2: icmp_seq=20 ttl=64 time=34.0 ms
10008 bytes from 10.0.0.2: icmp_seq=22 ttl=64 time=33.2 ms
10008 bytes from 10.0.0.2: icmp_seq=23 ttl=64 time=33.2 ms
10008 bytes from 10.0.0.2: icmp_seq=24 ttl=64 time=32.6 ms
10008 bytes from 10.0.0.2: icmp_seq=25 ttl=64 time=32.4 ms
10008 bytes from 10.0.0.2: icmp_seq=26 ttl=64 time=33.5 ms
10008 bytes from 10.0.0.2: icmp_seq=27 ttl=64 time=33.1 ms
10008 bytes from 10.0.0.2: icmp_seq=28 ttl=64 time=32.7 ms
10008 bytes from 10.0.0.2: icmp_seq=29 ttl=64 time=32.4 ms
10008 bytes from 10.0.0.2: icmp_seq=31 ttl=64 time=32.4 ms
